date_key,date,year,month,month_name,iso_year,iso_week,iso_yearweek,week_start_date,store_code,store_name,orders,net_revenue,aov,units,asp,units_per_order
20220601,2022-06-01,2022,6,June,2022,22,202222,2022-05-30,RBN,Rabbona,1,159.99,159.99,1.000,159.99,1.00
20220601,2022-06-01,2022,6,June,2022,22,202222,2022-05-30,VIC,Victus,4,756.94,189.24,7.000,108.13,1.75
20220602,2022-06-02,2022,6,June,2022,22,202222,2022-05-30,PA,Pasion Albiverde (Store),5,1176.96,235.39,5.000,235.39,1.00
20220602,2022-06-02,2022,6,June,2022,22,202222,2022-05-30,RBN,Rabbona,3,569.97,189.99,3.000,189.99,1.00
20220602,2022-06-02,2022,6,June,2022,22,202222,2022-05-30,VIC,Victus,3,349.96,116.65,4.000,87.49,1.33
20220603,2022-06-03,2022,6,June,2022,22,202222,2022-05-30,PA,Pasion Albiverde (Store),7,1839.90,262.84,10.000,183.99,1.43
20220603,2022-06-03,2022,6,June,2022,22,202222,2022-05-30,RBN,Rabbona,1,649.99,649.99,3.000,216.66,3.00
20220603,2022-06-03,2022,6,June,2022,22,202222,2022-05-30,VIC,Victus,3,299.97,99.99,3.000,99.99,1.00
20220604,2022-06-04,2022,6,June,2022,22,202222,2022-05-30,PA,Pasion Albiverde (Store),4,846.96,211.74,5.000,169.39,1.25
20220604,2022-06-04,2022,6,June,2022,22,202222,2022-05-30,RBN,Rabbona,4,781.96,195.49,6.000,130.33,1.50
20220604,2022-06-04,2022,6,June,2022,22,202222,2022-05-30,VIC,Victus,1,129.98,129.98,2.000,64.99,2.00
20220605,2022-06-05,2022,6,June,2022,22,202222,2022-05-30,RBN,Rabbona,6,1586.90,264.48,11.000,144.26,1.83
20220605,2022-06-05,2022,6,June,2022,22,202222,2022-05-30,VIC,Victus,1,230.00,230.00,2.000,115.00,2.00
20220606,2022-06-06,2022,6,June,2022,23,202223,2022-06-06,PA,Pasion Albiverde (Store),3,716.98,238.99,3.000,238.99,1.00
20220606,2022-06-06,2022,6,June,2022,23,202223,2022-06-06,RBN,Rabbona,3,639.98,213.33,4.000,160.00,1.33
20220606,2022-06-06,2022,6,June,2022,23,202223,2022-06-06,VIC,Victus,4,469.95,117.49,5.000,93.99,1.25
20220607,2022-06-07,2022,6,June,2022,23,202223,2022-06-06,PA,Pasion Albiverde (Store),2,339.98,169.99,2.000,169.99,1.00
20220607,2022-06-07,2022,6,June,2022,23,202223,2022-06-06,RBN,Rabbona,4,746.97,186.74,4.000,186.74,1.00
20220607,2022-06-07,2022,6,June,2022,23,202223,2022-06-06,VIC,Victus,5,749.94,149.99,8.000,93.74,1.60
20220608,2022-06-08,2022,6,June,2022,23,202223,2022-06-06,PA,Pasion Albiverde (Store),1,269.99,269.99,1.000,269.99,1.00
20220608,2022-06-08,2022,6,June,2022,23,202223,2022-06-06,RBN,Rabbona,3,744.97,248.32,4.000,186.24,1.33
20220608,2022-06-08,2022,6,June,2022,23,202223,2022-06-06,VIC,Victus,2,209.97,104.99,3.000,69.99,1.50
20220609,2022-06-09,2022,6,June,2022,23,202223,2022-06-06,PA,Pasion Albiverde (Store),4,714.94,178.74,7.000,102.13,1.75
20220609,2022-06-09,2022,6,June,2022,23,202223,2022-06-06,RBN,Rabbona,5,1226.96,245.39,7.000,175.28,1.40
20220610,2022-06-10,2022,6,June,2022,23,202223,2022-06-06,NEB,Nebula,1,125.00,125.00,1.000,125.00,1.00
20220610,2022-06-10,2022,6,June,2022,23,202223,2022-06-06,PA,Pasion Albiverde (Store),2,119.98,59.99,2.000,59.99,1.00
20220610,2022-06-10,2022,6,June,2022,23,202223,2022-06-06,RBN,Rabbona,5,969.93,193.99,7.000,138.56,1.40
20220610,2022-06-10,2022,6,June,2022,23,202223,2022-06-06,VIC,Victus,1,209.97,209.97,3.000,69.99,3.00
20220611,2022-06-11,2022,6,June,2022,23,202223,2022-06-06,PA,Pasion Albiverde (Store),5,1979.91,395.98,9.000,219.99,1.80
20220611,2022-06-11,2022,6,June,2022,23,202223,2022-06-06,RBN,Rabbona,3,635.00,211.67,3.000,211.67,1.00
20220612,2022-06-12,2022,6,June,2022,23,202223,2022-06-06,RBN,Rabbona,1,275.00,275.00,1.000,275.00,1.00
20220613,2022-06-13,2022,6,June,2022,24,202224,2022-06-13,NEB,Nebula,2,349.97,174.99,3.000,116.66,1.50
20220613,2022-06-13,2022,6,June,2022,24,202224,2022-06-13,PA,Pasion Albiverde (Store),2,836.96,418.48,5.000,167.39,2.50
